Unnamed: 0,Mount Baw Baw,Lake Mountain,Mount Stirling,Mount Hotham,Falls Creek,Mount Buller,Total across all resorts
2007,51,11,3,138,139,284,726
2008,45,119,6,121,126,274,691
2009,39,61,5,157,135,287,684
2010,53,133,8,150,140,298,782
2011,37,84,4,123,133,241,622
2012,54,106,5,157,160,272,754
2013,33,72,5,98,129,252,589
2014,67,132,7,122,138,310,776
2015,69,121,6,118,146,304,764
2016,50,100,6,120,169,318,763
2017,59,126,8,150,169,404,941
2018,77,144,11,149,179,423,983
2019,81,120,8,153,172,399,933
2020,10,4,1,22,15,39,91
2021,23,26,3,80,75,133,341
