Unnamed: 0,Falls Creek,Lake Mountain,Mt Baw Baw,Mt Buller,Mt Hotham,Mt Stirling,All
2008/09,89035,9105,28421,68635,108917,28469,332582
2009/10,79095,25321,37956,66985,102612,34260,346229
2010/11,68244,37243,45003,82998,112456,29617,375561
2011/12,74735,27736,31775,69745,110296,44548,358835
2012/13,78227,23445,38598,79834,79763,44863,344730
2013/14,67289,27417,38764,82723,96365,46369,358927
2014/15,71346,28995,38858,109632,98475,46141,393447
2015/16,65056,29824,46480,102515,148317,57755,449948
2016/17,94269,46631,42635,75881,144871,31002,435289
2017/18,97493,45394,46213,75225,142612,29018,435955
2018/19,95137,20544,34139,89497,171373,43285,453974
2019/20*,56694,16335,19113,56916,97693,21885,268636
2020/21,89838,24965,22620,116472,170092,57125,481113
